"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","small GTPase-mediated signal transduction","22/293","491/18986",0.044806517311609,2.90340115248535,5.34987351270274,8.51118819826351e-06,0.00253207848898339,0.00197549157654432,"CDON/ARHGAP28/RAPGEF4/TGFB2/RND2/ARHGEF2/SIPA1L2/CDKN1A/AMOT/RHOJ/EPHB2/NGF/RGL1/PLK2/ADRA2A/KALRN/ARHGAP42/RRAD/ROBO1/RAP2B/PLEKHG4/DOK6",22
"GO:0042327","positive regulation of phosphorylation","21/293","479/18986",0.0438413361169102,2.84085872872238,5.10881072934065,1.89374355632342e-05,0.00520051115082663,0.00405736473686784,"PTGS2/CLSPN/TGFB2/RASSF2/VEGFA/ARHGEF2/PIK3R3/CDKN1A/LIF/PDE5A/ADRA2A/TNIK/ADCY8/IL34/PLPP3/NEK10/IL12A/ROBO1/CIMAP3/TNFSF15/TMEM119",21
"GO:0050673","epithelial cell proliferation","21/293","482/18986",0.0435684647302905,2.82317703539008,5.07597131332962,2.07699039023784e-05,0.00529632549510649,0.00413211772373633,"FGFR2/ESR1/TGFB2/HMOX1/WNT2/CXCL12/ST8SIA1/VEGFA/CDKN1A/SOX9/GDF5/FST/CCN3/VASH2/DUSP10/CDKN2B/BMPER/IL12A/ROBO1/EGR3/LGR4",21
"GO:0001934","positive regulation of protein phosphorylation","20/293","455/18986",0.043956043956044,2.84829164010051,4.99604541355089,2.889379848873e-05,0.00597766520254337,0.00466368926018864,"PTGS2/CLSPN/TGFB2/RASSF2/VEGFA/ARHGEF2/PIK3R3/CDKN1A/LIF/PDE5A/ADRA2A/TNIK/ADCY8/IL34/PLPP3/NEK10/IL12A/ROBO1/TNFSF15/TMEM119",20
"GO:0001503","ossification","20/293","456/18986",0.043859649122807,2.8420453865038,4.9847645104951,2.9803707456604e-05,0.00597766520254337,0.00466368926018864,"CHRDL2/FGFR2/PTGS2/P2RX7/RASSF2/KAZALD1/COL1A1/VEGFA/TENT5A/EGR2/TNFAIP6/SOX9/GDF5/CCN3/RSPO2/IGSF10/DNAI3/S1PR1/TMEM119/LGR4",20
"GO:0050807","regulation of synapse organization","16/293","312/18986",0.0512820512820513,3.3230069134506,5.179749176061,2.98938653518127e-05,0.00597766520254337,0.00466368926018864,"CYFIP2/LZTS1/CTTNBP2/RPS6KA5/ASIC2/PLPPR4/FLRT3/AMOT/EPHB2/LRRTM2/TUBA1A/LRRN3/EPHB3/SLITRK6/TUBB/COLQ",16
"GO:0034766","negative regulation of monoatomic ion transmembrane transport","9/293","103/18986",0.087378640776699,5.6620166340833,5.9395910267039,3.10083408538648e-05,0.00597766520254337,0.00466368926018864,"NEDD4L/RGS4/EPHB2/ADRA2A/CLIC2/RRAD/PRKCE/KCNE3/SLC6A9",9
"GO:0050769","positive regulation of neurogenesis","14/293","247/18986",0.0566801619433198,3.67279711486645,5.29347507867166,3.18139044393065e-05,0.00597766520254337,0.00466368926018864,"CDON/SLC7A5/WNT2/CXCL12/RND2/VEGFA/EGR2/LIF/EPHB2/ZNF365/CRABP2/TENM4/IL34/ROBO1",14
"GO:0043549","regulation of kinase activity","20/293","460/18986",0.0434782608695652,2.81733194836029,4.93994319993555,3.37054008041907e-05,0.00601641404354805,0.0046939205540994,"CLSPN/TGFB2/TRIB3/RASSF2/CDKN1A/EPHB2/PDE5A/WARS1/DUSP10/CDKN2B/ADRA2A/ADCY8/IL34/NEK10/LDB2/ROBO1/PKIA/CIMAP3/RAP2B/TNFSF15",20
"GO:0050803","regulation of synapse structure or activity","16/293","318/18986",0.050314465408805,3.26030866980059,5.08899498224693,3.76078879788164e-05,0.00639334095639878,0.00498799356350617,"CYFIP2/LZTS1/CTTNBP2/RPS6KA5/ASIC2/PLPPR4/FLRT3/AMOT/EPHB2/LRRTM2/TUBA1A/LRRN3/EPHB3/SLITRK6/TUBB/COLQ",16
"GO:0050927","positive regulation of positive chemotaxis","5/293","26/18986",0.192307692307692,12.4612759254397,7.32150028345805,4.26504848673472e-05,0.00659003299667986,0.00514144989214652,"CXCL12/VEGFA/PGF/ITGA2/S1PR1",5
"GO:0009612","response to mechanical stimulus","13/293","222/18986",0.0585585585585586,3.79451465116994,5.24348190852998,4.35186919124775e-05,0.00659003299667986,0.00514144989214652,"PTGS2/P2RX7/BDKRB1/CXCL12/ASIC2/COL1A1/SOX9/GDF5/PIEZO2/ITGA2/PKD1L2/TUBA1A/SLITRK6",13
"GO:0006935","chemotaxis","20/293","472/18986",0.0423728813559322,2.7457048649274,4.80829715864326,4.82980630637388e-05,0.00659003299667986,0.00514144989214652,"SEMA3A/TGFB2/CXCL12/VEGFA/PGF/TNFAIP6/FLRT3/AMOT/ACKR4/LSP1/CCN3/SEMA6D/CH25H/IL34/VCAM1/ITGA2/IL12A/ROBO1/S1PR1/EGR3",20
"GO:0048638","regulation of developmental growth","16/293","325/18986",0.0492307692307692,3.19008663691258,4.98580314569709,4.87893608384382e-05,0.00659003299667986,0.00514144989214652,"NEDD4L/FGFR2/SEMA3A/WNT2/CXCL12/RND2/VEGFA/RGS4/CDKN1A/GDF5/GDF15/SEMA6D/CRABP2/DUSP10/SPTBN4/COLQ",16
"GO:0051924","regulation of calcium ion transport","14/293","258/18986",0.0542635658914729,3.51620498981401,5.0945963464992,5.1171708206411e-05,0.00659003299667986,0.00514144989214652,"CAMK2A/PTGS2/P2RX7/BDKRB1/CXCL12/STIM2/RGS4/MCHR1/ANK2/ADRA2A/CLIC2/EPB41/RRAD/PRKCE",14
"GO:0042330","taxis","20/293","474/18986",0.0421940928270042,2.73411961233277,4.78675454099235,5.12143706338729e-05,0.00659003299667986,0.00514144989214652,"SEMA3A/TGFB2/CXCL12/VEGFA/PGF/TNFAIP6/FLRT3/AMOT/ACKR4/LSP1/CCN3/SEMA6D/CH25H/IL34/VCAM1/ITGA2/IL12A/ROBO1/S1PR1/EGR3",20
"GO:0050926","regulation of positive chemotaxis","5/293","27/18986",0.185185185185185,11.9997471874605,7.16071650797905,5.1686533307293e-05,0.00659003299667986,0.00514144989214652,"CXCL12/VEGFA/PGF/ITGA2/S1PR1",5
"GO:0002040","sprouting angiogenesis","12/293","196/18986",0.0612244897959184,3.96726335585429,5.22781664114021,5.56765573545374e-05,0.00685397619847236,0.0053473746192416,"PTGS2/HMOX1/VEGFA/PIK3R3/PGF/RHOJ/PLK2/BMPER/E2F7/IL12A/ROBO1/EGR3",12
"GO:0051965","positive regulation of synapse assembly","7/293","65/18986",0.107692307692308,6.97831451824626,6.04453647840011,6.28391237313161e-05,0.00747785572402662,0.00583411654010746,"ASIC2/FLRT3/EPHB2/LRRTM2/LRRN3/EPHB3/SLITRK6",7
"GO:0043278","response to morphine","4/293","15/18986",0.266666666666667,17.2796359499431,7.8966849998643,6.63244004362901e-05,0.0076380035341147,0.00595906158079537,"PPP1R1B/ADRA2A/ADCY8/PRKCE",4
"GO:0034762","regulation of transmembrane transport","20/293","487/18986",0.0410677618069815,2.66113489988857,4.64937809387432,7.43080936994874e-05,0.00819996231816452,0.00639749382098284,"NEDD4L/P2RX7/BDKRB1/TRIB3/SLC7A5/SCN1B/ASIC2/STIM2/RGS4/KCNS1/PER2/EPHB2/CNIH3/ANK2/ADRA2A/CLIC2/RRAD/PRKCE/KCNE3/SLC6A9",20
"GO:0046849","bone remodeling","8/293","90/18986",0.0888888888888889,5.75987864998104,5.66672064198419,7.57979710082434e-05,0.00819996231816452,0.00639749382098284,"P2RX7/RASSF2/GDF5/TNFRSF11B/INPP5D/S1PR1/TMEM119/LGR4",8
"GO:0014072","response to isoquinoline alkaloid","4/293","16/18986",0.25,16.1996587030717,7.61482224816351,8.73610848693678e-05,0.00878063285698323,0.00685052470575782,"PPP1R1B/ADRA2A/ADCY8/PRKCE",4
"GO:0045779","negative regulation of bone resorption","4/293","16/18986",0.25,16.1996587030717,7.61482224816351,8.73610848693678e-05,0.00878063285698323,0.00685052470575782,"P2RX7/TNFRSF11B/INPP5D/TMEM119",4
"GO:0060560","developmental growth involved in morphogenesis","13/293","238/18986",0.0546218487394958,3.53942122924255,4.93566141933614,8.85441968771419e-05,0.00878063285698323,0.00685052470575782,"NEDD4L/CYFIP2/FGFR2/SEMA3A/ESR1/CXCL12/RND2/VEGFA/SOX9/FLRT3/SEMA6D/CRABP2/S1PR1",13
"GO:0032413","negative regulation of ion transmembrane transporter activity","7/293","70/18986",0.1,6.47986348122867,5.75047492955769,0.00010132896634494,0.00977687594193073,0.00762777937265184,"NEDD4L/EPHB2/ADRA2A/CLIC2/RRAD/KCNE3/SLC6A9",7
"GO:0007265","Ras protein signal transduction","9/293","121/18986",0.0743801652892562,4.81973316785604,5.27711932087899,0.000109642830272495,0.010300655370337,0.008036424623297,"RAPGEF4/TGFB2/CDKN1A/EPHB2/NGF/RGL1/PLK2/ADRA2A/DOK6",9
"GO:0002042","cell migration involved in sprouting angiogenesis","8/293","96/18986",0.0833333333333333,5.39988623435722,5.41079017535208,0.00011973312165346,0.0109601857513552,0.00855098083387467,"PTGS2/HMOX1/VEGFA/PIK3R3/RHOJ/PLK2/ROBO1/EGR3",8
"GO:0045859","regulation of protein kinase activity","18/293","427/18986",0.0421545667447307,2.73155837616197,4.53078440602058,0.000122960157120548,0.0109741940230089,0.00856190988792027,"CLSPN/TGFB2/TRIB3/RASSF2/CDKN1A/EPHB2/PDE5A/WARS1/DUSP10/CDKN2B/ADRA2A/ADCY8/IL34/NEK10/ROBO1/PKIA/RAP2B/TNFSF15",18
"GO:0051051","negative regulation of transport","19/293","467/18986",0.0406852248394004,2.63634702662408,4.48254537071176,0.000126877063560407,0.0109807997265721,0.0085670635637652,"NEDD4L/PTGS2/RGS4/ACVR1C/LIF/EPHB2/CCN3/PRKG2/SH3GL3/LRRTM2/ADRA2A/CLIC2/ADORA1/RRAD/IL12A/PKIA/PRKCE/KCNE3/SLC6A9",19
"GO:0045670","regulation of osteoclast differentiation","7/293","73/18986",0.0958904109589041,6.21356772172612,5.58747825390799,0.00013240990100139,0.0109807997265721,0.0085670635637652,"RASSF2/GPR68/TNFAIP6/LRRC17/CAMK4/TNFRSF11B/INPP5D",7
"GO:0034765","regulation of monoatomic ion transmembrane transport","16/293","354/18986",0.0451977401129944,2.92875185592256,4.58614580740193,0.000132527770690719,0.0109807997265721,0.0085670635637652,"NEDD4L/P2RX7/BDKRB1/SCN1B/ASIC2/STIM2/RGS4/KCNS1/EPHB2/ANK2/ADRA2A/CLIC2/RRAD/PRKCE/KCNE3/SLC6A9",16
"GO:0046851","negative regulation of bone remodeling","4/293","18/18986",0.222222222222222,14.3996966249526,7.12065682650354,0.000143346724685767,0.0109807997265721,0.0085670635637652,"P2RX7/TNFRSF11B/INPP5D/TMEM119",4
"GO:0060688","regulation of morphogenesis of a branching structure","6/293","52/18986",0.115384615384615,7.47676555526385,5.8551532986516,0.000143915054100964,0.0109807997265721,0.0085670635637652,"FGFR2/ESR1/WNT2/VEGFA/SOX9/LGR4",6
"GO:0043410","positive regulation of MAPK cascade","19/293","472/18986",0.0402542372881356,2.60841962168103,4.4301643721183,0.000145536790588755,0.0109807997265721,0.0085670635637652,"CDON/FGFR2/SEMA3A/P2RX7/TGFB2/RASSF2/VEGFA/LIF/GDF15/PDE5A/ADRA2A/TNIK/IL34/ADORA1/NEK10/BMPER/ROBO1/PRKCE/DOK6",19
"GO:0046942","carboxylic acid transport","16/293","357/18986",0.0448179271708683,2.90414049578876,4.54713589862571,0.000145976676967178,0.0109807997265721,0.0085670635637652,"ABCB4/SLC7A14/PTGS2/P2RX7/ABCC6/SLC7A5/FOLR3/PLA2G4A/RGS4/SLC6A6/PER2/CRABP2/ADORA1/BDKRB2/SLC51B/SLC6A9",16
"GO:0015849","organic acid transport","16/293","358/18986",0.0446927374301676,2.89602837149885,4.53422261076746,0.000150716858992166,0.0109807997265721,0.0085670635637652,"ABCB4/SLC7A14/PTGS2/P2RX7/ABCC6/SLC7A5/FOLR3/PLA2G4A/RGS4/SLC6A6/PER2/CRABP2/ADORA1/BDKRB2/SLC51B/SLC6A9",16
"GO:0070482","response to oxygen levels","16/293","358/18986",0.0446927374301676,2.89602837149885,4.53422261076746,0.000150716858992166,0.0109807997265721,0.0085670635637652,"FGFR2/PTGS2/TGFB2/SLC7A5/CXCL12/COL1A1/VEGFA/PGF/CDKN1A/SOX4/LIF/VCAM1/ADORA1/ITGA2/AQP3/PRKCE",16
"GO:0033002","muscle cell proliferation","13/293","252/18986",0.0515873015873016,3.34278671650685,4.68724196540902,0.000156653568537606,0.0111850647935851,0.00872642826001065,"FGFR2/PTGS2/TGFB2/HMOX1/WNT2/CDKN1A/CCN3/TENM4/ITGA2/IL12A/S1PR1/DDIT3/JUN",13
"GO:0060047","heart contraction","13/293","253/18986",0.0513833992094862,3.32957412078943,4.67017048744813,0.000162897977787721,0.0113830106622915,0.0088808628077321,"NEDD4L/TGFB2/SCN1B/TBX18/RGS4/ADM2/PDE5A/ANK2/CLIC2/SPTBN4/ADORA1/SGCD/KCNE3",13
"GO:0030282","bone mineralization","9/293","128/18986",0.0703125,4.55615401023891,5.05402444573186,0.000168463432748687,0.0113830106622915,0.0088808628077321,"FGFR2/PTGS2/P2RX7/TENT5A/SOX9/RSPO2/S1PR1/TMEM119/LGR4",9
"GO:0032412","regulation of monoatomic ion transmembrane transporter activity","11/293","188/18986",0.0585106382978723,3.79140948369763,4.81555402586937,0.000168991474818334,0.0113830106622915,0.0088808628077321,"NEDD4L/SCN1B/STIM2/EPHB2/CNIH3/ANK2/ADRA2A/CLIC2/RRAD/KCNE3/SLC6A9",11
"GO:0090050","positive regulation of cell migration involved in sprouting angiogenesis","5/293","35/18986",0.142857142857143,9.25694783032667,6.12120754524899,0.000187889138499985,0.0122957680109252,0.00959298309211504,"PTGS2/HMOX1/VEGFA/RHOJ/PLK2",5
"GO:0002761","regulation of myeloid leukocyte differentiation","9/293","130/18986",0.0692307692307692,4.48605933315831,4.99322658249916,0.000189430599608092,0.0122957680109252,0.00959298309211504,"RASSF2/GPR68/TNFAIP6/LIF/LRRC17/CAMK4/IL34/TNFRSF11B/INPP5D",9
